,freq
prerequisite,189
knowledge,148
concepts,138
concept,124
precision,124
research,118
learning,99
fig,87
scientific,87
relations,81
career,70
recall,70
wcr,66
kpns,63
kpn,60
science,59
disciplines,59
patterns,58
information,53
authors,53
discipline,51
author,49
while,49
topic,49
community,49
precedence,48
mathematics,47
transitions,47
network,46
computer,45
low,45
analysis,45
than,43
which,41
level,41
cross,41
different,40
top,39
processing,39
management,39
llm,38
pairs,38
engineering,38
average,37
real,37
relation,37
alignment,37
temporal,35
resolution,35
how,35
further,34
data,34
progression,34
higher,33
topics,33
scientists,33
researchers,33
theoretical,32
works,32
xiang,32
all,31
educational,31
shown,31
citation,31
trajectories,31
degree,31
relationships,30
yang,29
only,29
fields,29
parameter,29
threshold,28
approach,28
work,28
matrix,27
where,26
world,26
pair,25
graph,25
transition,25
conference,25
evolution,25
performance,24
values,24
path,24
not,23
thresholds,23
domain,23
sensitivity,23
but,22
proceedings,22
structure,22
section,22
networks,22
rather,21
personalized,21
wang,21
early,21
publication,21
cfm,21
insights,21
among,20
overall,20
through,20
semantic,20
first,20
annotated,20
international,20
range,20
large,20
sub,20
citing,19
innovation,19
communities,19
prerequisites,19
kcn,19
number,19
model,19
paths,18
mathematical,18
